Baud, Errors
8010, 18996, 23
8011, 18996, 39
8012, 18996, 43
8013, 18996, 45
8014, 18996, 43
8015, 18996, 40
8016, 18996, 45
8017, 18996, 37
8018, 18996, 37
8019, 18996, 27
8020, 18996, 15
8021, 18996, 10
8022, 18996, 23
8023, 18996, 32
8024, 18996, 43
8025, 18996, 41
8026, 18996, 41
8027, 18996, 40
8028, 18996, 44
8029, 18996, 38
8030, 18996, 41
8031, 18996, 32
8032, 18996, 25
8033, 18996, 12
8034, 18996, 15
8035, 18996, 28
8036, 18996, 37
8037, 18996, 39
8038, 18996, 41
8039, 18996, 42
8040, 18996, 43
8041, 18996, 41
8042, 18996, 40
8043, 18996, 33
8044, 18996, 28
8045, 18996, 16
8046, 18996, 5
8047, 18996, 18
8048, 18996, 25
8049, 18996, 36
8050, 18996, 39
8051, 18996, 40
8052, 18996, 41
8053, 18996, 44
8054, 18996, 40
8055, 18996, 37
8056, 18996, 30
8057, 18996, 18
8058, 18996, 9
8059, 18996, 11
8060, 18996, 27
8061, 18996, 39
8062, 18996, 41
8063, 18996, 42
8064, 18996, 43
8065, 18996, 40
8066, 18996, 37
8067, 18996, 37
8068, 18996, 36
8069, 18996, 32
8070, 18996, 15
8071, 18996, 8
8072, 18996, 23
8073, 18996, 24
8074, 18996, 34
8075, 18996, 35
8076, 18996, 38
8077, 18996, 43
8078, 18996, 36
8079, 18996, 36
8080, 18996, 38
8081, 18996, 33
8082, 18996, 17
8083, 18996, 8
8084, 18996, 10
8085, 18996, 23
8086, 18996, 38
8087, 18996, 33
